Annotator	Data set	ID	Text	Is it offensive?	Is it a slur?	Is it adjective nominalization	Is it distancing
A		M-6	eating like A Poor is chic & hilarious bc we are Not Poor & smugly show it	Y	N	Y	N
B		M-6	eating like A Poor is chic & hilarious bc we are Not Poor & smugly show it	Y	N	Y	N
C		M-6	eating like A Poor is chic & hilarious bc we are Not Poor & smugly show it	Y	N	Y	N
D		M-6	eating like A Poor is chic & hilarious bc we are Not Poor & smugly show it	Y	N	Y	Y
F		M-6	eating like A Poor is chic & hilarious bc we are Not Poor & smugly show it	Y	N	Y	Y
C		M-26b	No good comes from letting a female define what a man is and how a man should live his life.	Y	N	Y	N
E		M-26b	No good comes from letting a female define what a man is and how a man should live his life.	Y	N	Y	N
F		M-26b	No good comes from letting a female define what a man is and how a man should live his life.	N	N	Y	N
A		M-26a	It should not be understood as gay marriage (ie marriage for gays) but marriage that includes gays (ie the marriage is the same for all and is extended to gays), which is different.	N	N	Y	N
C		M-26a	It should not be understood as gay marriage (ie marriage for gays) but marriage that includes gays (ie the marriage is the same for all and is extended to gays), which is different.	N	N	Y	N
E		M-26a	It should not be understood as gay marriage (ie marriage for gays) but marriage that includes gays (ie the marriage is the same for all and is extended to gays), which is different.	N	N	Y	N
C		M-25b	Yin is the moon and a female and it is associated with deception, passivity ( passive agressiveness) and sinister.	N	N	Y	N
E		M-25b	Yin is the moon and a female and it is associated with deception, passivity ( passive agressiveness) and sinister.	Y	N	Y	N
F		M-25b	Yin is the moon and a female and it is associated with deception, passivity ( passive agressiveness) and sinister.	Y	N	Y	N
A		M-25a	So with a marriage that includes gays, now there is not even a pretension - as for infertile heterosexual couples or couples who didn't want kids - to have anything to do with recognition of paternity.	N	N	Y	N
C		M-25a	So with a marriage that includes gays, now there is not even a pretension - as for infertile heterosexual couples or couples who didn't want kids - to have anything to do with recognition of paternity.	Y	N	Y	N
E		M-25a	So with a marriage that includes gays, now there is not even a pretension - as for infertile heterosexual couples or couples who didn't want kids - to have anything to do with recognition of paternity.	N	N	Y	N
C		M-24	Thanks for that first! Like most of us, I still have a open wound caused by a female.	N	N	Y	N
E		M-24	Thanks for that first! Like most of us, I still have a open wound caused by a female.	N	N	Y	N
